Wall time,Step,Value
1617997198.3454597,1,0.8800833225250244
1617997203.7507355,2,0.9102083444595337
1617997209.0326078,3,0.9152916669845581
1617997214.43424,4,0.9183333516120911
1617997220.0281947,5,0.9202083349227905
1617997225.4881148,6,0.9223124980926514
1617997231.146181,7,0.9228541851043701
1617997236.9862013,8,0.9242083430290222
1617997242.8650854,9,0.924958348274231
1617997248.5388842,10,0.9261041879653931
1617997254.0747917,11,0.9269583225250244
1617997259.792096,12,0.9273333549499512
1617997265.1248806,13,0.9281874895095825
1617997270.4597352,14,0.9283541440963745
1617997276.0196946,15,0.9282083511352539
1617997281.759044,16,0.9290000200271606
1617997287.2511811,17,0.9289791584014893
1617997293.1611753,18,0.9291458129882812
1617997298.4025605,19,0.9299166798591614
1617997303.983238,20,0.9295416474342346
1617997309.6494973,21,0.929645836353302
1617997315.31433,22,0.9307500123977661
1617997320.4619892,23,0.9303749799728394
1617997326.2470818,24,0.9305833578109741
1617997331.952029,25,0.9310833215713501
1617997337.6233742,26,0.9308124780654907
1617997342.9322243,27,0.9309791922569275
1617997348.4910836,28,0.9318125247955322
1617997353.8231957,29,0.9311249852180481
1617997359.3122258,30,0.9324166774749756
