,case,epoch,loss,val_loss,accuracy,val_accuracy,learning_rate,batch_size,optimizer,model
66,2,27,0.239,0.2708,0.9341,0.9247,0.01,64,sgd,MLPZero
67,2,28,0.2389,0.2708,0.9342,0.9248,0.01,64,sgd,MLPZero
68,2,29,0.2388,0.2708,0.9342,0.9248,0.01,64,sgd,MLPZero
69,2,30,0.2388,0.2708,0.9342,0.9247,0.01,64,sgd,MLPZero
70,2,31,0.2387,0.2708,0.9342,0.9247,0.01,64,sgd,MLPZero
71,2,32,0.2386,0.2708,0.9342,0.9247,0.01,64,sgd,MLPZero
72,2,33,0.2385,0.2709,0.9342,0.9247,0.01,64,sgd,MLPZero
73,2,34,0.2385,0.2709,0.9342,0.9247,0.01,64,sgd,MLPZero
74,2,35,0.2384,0.2709,0.9342,0.9247,0.01,64,sgd,MLPZero
75,2,36,0.2383,0.2709,0.9342,0.9247,0.01,64,sgd,MLPZero
76,2,37,0.2383,0.2709,0.9343,0.9247,0.01,64,sgd,MLPZero
77,2,38,0.2382,0.2709,0.9343,0.9247,0.01,64,sgd,MLPZero
78,2,39,0.2381,0.2709,0.9343,0.9247,0.01,64,sgd,MLPZero
79,2,40,0.2381,0.2709,0.9343,0.9247,0.01,64,sgd,MLPZero
80,3,1,0.2735,0.3112,0.9235,0.9128,0.05,32,sgd,MLPZero
81,3,2,0.274,0.3099,0.9231,0.9127,0.05,32,sgd,MLPZero
82,3,3,0.2731,0.3037,0.9229,0.9163,0.05,32,sgd,MLPZero
83,3,4,0.2725,0.3086,0.9229,0.9142,0.05,32,sgd,MLPZero
84,3,5,0.272,0.3078,0.923,0.9153,0.05,32,sgd,MLPZero
85,3,6,0.2718,0.3071,0.9231,0.9153,0.05,32,sgd,MLPZero
86,3,7,0.2715,0.3055,0.9232,0.9163,0.05,32,sgd,MLPZero
87,3,8,0.2711,0.3053,0.9234,0.9166,0.05,32,sgd,MLPZero
88,3,9,0.2706,0.3054,0.9236,0.9166,0.05,32,sgd,MLPZero
89,3,10,0.2701,0.3066,0.9237,0.9164,0.05,32,sgd,MLPZero
90,3,11,0.2697,0.3064,0.9238,0.9165,0.05,32,sgd,MLPZero
91,3,12,0.2694,0.3065,0.9239,0.9165,0.05,32,sgd,MLPZero
92,3,13,0.269,0.3062,0.9241,0.9165,0.05,32,sgd,MLPZero
93,3,14,0.2687,0.306,0.9242,0.9167,0.05,32,sgd,MLPZero
94,3,15,0.2683,0.3064,0.9243,0.9166,0.05,32,sgd,MLPZero
95,3,16,0.268,0.3069,0.9244,0.9167,0.05,32,sgd,MLPZero
96,3,17,0.2678,0.3067,0.9245,0.9169,0.05,32,sgd,MLPZero
97,3,18,0.2674,0.3067,0.9245,0.9169,0.05,32,sgd,MLPZero
98,3,19,0.2671,0.3065,0.9246,0.9171,0.05,32,sgd,MLPZero
99,3,20,0.2668,0.3069,0.9247,0.917,0.05,32,sgd,MLPZero
100,3,21,0.2665,0.3071,0.9247,0.9169,0.05,32,sgd,MLPZero
101,3,22,0.2663,0.3076,0.9248,0.9168,0.05,32,sgd,MLPZero
102,3,23,0.266,0.3077,0.9248,0.9167,0.05,32,sgd,MLPZero
103,3,24,0.2658,0.3084,0.9249,0.9165,0.05,32,sgd,MLPZero
104,3,25,0.2655,0.3084,0.9249,0.9165,0.05,32,sgd,MLPZero
105,3,26,0.2653,0.3086,0.925,0.9165,0.05,32,sgd,MLPZero
106,3,27,0.265,0.3085,0.9251,0.9165,0.05,32,sgd,MLPZero
107,3,28,0.2648,0.3092,0.9252,0.9162,0.05,32,sgd,MLPZero
