,case,epoch,loss,val_loss,accuracy,val_accuracy,learning_rate,batch_size,optimizer,model
66,1,67,0.2483,0.3039,0.9307,0.9187,0.05,128,sgd,MLPZero
67,1,68,0.248,0.3039,0.9308,0.9187,0.05,128,sgd,MLPZero
68,1,69,0.2477,0.304,0.9309,0.9187,0.05,128,sgd,MLPZero
69,1,70,0.2475,0.3041,0.931,0.9187,0.05,128,sgd,MLPZero
70,1,71,0.2473,0.3041,0.931,0.9187,0.05,128,sgd,MLPZero
71,1,72,0.247,0.3042,0.9311,0.9187,0.05,128,sgd,MLPZero
72,1,73,0.2468,0.3043,0.9312,0.9187,0.05,128,sgd,MLPZero
73,1,74,0.2465,0.3043,0.9312,0.9187,0.05,128,sgd,MLPZero
74,1,75,0.2463,0.3044,0.9313,0.9187,0.05,128,sgd,MLPZero
75,1,76,0.2461,0.3045,0.9314,0.9187,0.05,128,sgd,MLPZero
76,1,77,0.2459,0.3046,0.9314,0.9187,0.05,128,sgd,MLPZero
77,1,78,0.2457,0.3047,0.9315,0.9187,0.05,128,sgd,MLPZero
78,1,79,0.2454,0.3048,0.9316,0.9187,0.05,128,sgd,MLPZero
79,1,80,0.2452,0.3048,0.9316,0.9187,0.05,128,sgd,MLPZero
80,2,1,0.4256,0.3372,0.8789,0.9022,0.05,128,sgd,MLPZeroReLu
81,2,2,0.368,0.3255,0.895,0.9062,0.05,128,sgd,MLPZeroReLu
82,2,3,0.3427,0.32,0.9023,0.9088,0.05,128,sgd,MLPZeroReLu
83,2,4,0.3275,0.3173,0.9065,0.91,0.05,128,sgd,MLPZeroReLu
84,2,5,0.3171,0.3136,0.9096,0.9118,0.05,128,sgd,MLPZeroReLu
85,2,6,0.3091,0.311,0.912,0.9129,0.05,128,sgd,MLPZeroReLu
86,2,7,0.3028,0.3085,0.9138,0.914,0.05,128,sgd,MLPZeroReLu
87,2,8,0.2976,0.3066,0.9154,0.9146,0.05,128,sgd,MLPZeroReLu
88,2,9,0.2932,0.305,0.9165,0.9152,0.05,128,sgd,MLPZeroReLu
89,2,10,0.2894,0.3034,0.9176,0.9158,0.05,128,sgd,MLPZeroReLu
90,2,11,0.2861,0.3025,0.9186,0.9162,0.05,128,sgd,MLPZeroReLu
91,2,12,0.2831,0.3021,0.9194,0.9164,0.05,128,sgd,MLPZeroReLu
92,2,13,0.2805,0.3014,0.9202,0.9166,0.05,128,sgd,MLPZeroReLu
93,2,14,0.2781,0.3007,0.9209,0.9169,0.05,128,sgd,MLPZeroReLu
94,2,15,0.2759,0.3,0.9215,0.9172,0.05,128,sgd,MLPZeroReLu
95,2,16,0.2739,0.2992,0.9221,0.9175,0.05,128,sgd,MLPZeroReLu
96,2,17,0.2721,0.2985,0.9226,0.9178,0.05,128,sgd,MLPZeroReLu
97,2,18,0.2704,0.2977,0.9231,0.9181,0.05,128,sgd,MLPZeroReLu
98,2,19,0.2688,0.2971,0.9235,0.9183,0.05,128,sgd,MLPZeroReLu
99,2,20,0.2673,0.2965,0.924,0.9185,0.05,128,sgd,MLPZeroReLu
100,2,21,0.266,0.2962,0.9244,0.9186,0.05,128,sgd,MLPZeroReLu
101,2,22,0.2646,0.2958,0.9247,0.9188,0.05,128,sgd,MLPZeroReLu
102,2,23,0.2634,0.2953,0.9251,0.9189,0.05,128,sgd,MLPZeroReLu
103,2,24,0.2622,0.2951,0.9255,0.919,0.05,128,sgd,MLPZeroReLu
104,2,25,0.2611,0.2947,0.9258,0.9191,0.05,128,sgd,MLPZeroReLu
105,2,26,0.2601,0.2946,0.9261,0.9192,0.05,128,sgd,MLPZeroReLu
106,2,27,0.2591,0.2944,0.9264,0.9193,0.05,128,sgd,MLPZeroReLu
107,2,28,0.2581,0.294,0.9267,0.9195,0.05,128,sgd,MLPZeroReLu
108,2,29,0.2572,0.2938,0.927,0.9197,0.05,128,sgd,MLPZeroReLu
109,2,30,0.2563,0.2936,0.9272,0.9197,0.05,128,sgd,MLPZeroReLu
110,2,31,0.2555,0.2935,0.9275,0.9198,0.05,128,sgd,MLPZeroReLu
111,2,32,0.2547,0.2933,0.9277,0.9199,0.05,128,sgd,MLPZeroReLu
112,2,33,0.2539,0.2931,0.9279,0.92,0.05,128,sgd,MLPZeroReLu
113,2,34,0.2531,0.2929,0.9281,0.9201,0.05,128,sgd,MLPZeroReLu
114,2,35,0.2524,0.2928,0.9284,0.9201,0.05,128,sgd,MLPZeroReLu
115,2,36,0.2517,0.2927,0.9285,0.9202,0.05,128,sgd,MLPZeroReLu
116,2,37,0.251,0.2925,0.9287,0.9202,0.05,128,sgd,MLPZeroReLu
117,2,38,0.2504,0.2924,0.9289,0.9203,0.05,128,sgd,MLPZeroReLu
118,2,39,0.2498,0.2923,0.9291,0.9204,0.05,128,sgd,MLPZeroReLu
119,2,40,0.2491,0.2921,0.9293,0.9205,0.05,128,sgd,MLPZeroReLu
120,2,41,0.2485,0.292,0.9294,0.9205,0.05,128,sgd,MLPZeroReLu
121,2,42,0.248,0.292,0.9296,0.9206,0.05,128,sgd,MLPZeroReLu
122,2,43,0.2474,0.292,0.9298,0.9206,0.05,128,sgd,MLPZeroReLu
123,2,44,0.2469,0.2919,0.9299,0.9206,0.05,128,sgd,MLPZeroReLu
124,2,45,0.2463,0.2919,0.9301,0.9206,0.05,128,sgd,MLPZeroReLu
