,run,epoch,loss,valLoss,accuracy,accuracy_val,model,lr,batch_size,optim
0,1,1,0.683323379456997,0.508758851647377,0.8033333333333333,0.8325833333333333,MLPOne,0.01,32,sgd
1,1,2,0.46139798960834744,0.45153693489233654,0.8461458333333334,0.8470833333333333,MLPOne,0.01,32,sgd
2,1,3,0.4140524151921272,0.42263273323575656,0.8585416666666666,0.85175,MLPOne,0.01,32,sgd
3,1,4,0.33002757443487646,0.18896242415408293,0.8889375,0.9473333333333334,MLPOne,0.01,32,sgd
4,1,5,0.1568650767033299,0.16211671442290146,0.9565,0.9530833333333333,MLPOne,0.01,32,sgd
5,1,6,0.1342765052796652,0.1469697307869792,0.9630416666666667,0.9574166666666667,MLPOne,0.01,32,sgd
6,1,7,0.11747333254789313,0.13506402864307165,0.9675625,0.9609166666666666,MLPOne,0.01,32,sgd
7,1,8,0.10424935365344087,0.12536133070786795,0.9715833333333334,0.9639166666666666,MLPOne,0.01,32,sgd
8,1,9,0.0937091821283102,0.11707780571778616,0.9746458333333333,0.9658333333333333,MLPOne,0.01,32,sgd
9,1,10,0.08447005234534542,0.11014600212623675,0.9777083333333333,0.9681666666666666,MLPOne,0.01,32,sgd
10,1,11,0.07694242950808257,0.10709821864714225,0.97975,0.96975,MLPOne,0.01,32,sgd
11,1,12,0.07037985856939728,0.09940940373639266,0.9812291666666667,0.9706666666666667,MLPOne,0.01,32,sgd
12,1,13,0.06481369496292125,0.0951358716028432,0.9829791666666666,0.9725833333333334,MLPOne,0.01,32,sgd
13,1,14,0.059694712065005054,0.0926052498978873,0.9843958333333334,0.9729166666666667,MLPOne,0.01,32,sgd
14,1,15,0.05529447199823335,0.09064930473516385,0.9855416666666666,0.9736666666666667,MLPOne,0.01,32,sgd
15,1,16,0.051145940913973995,0.08707938796219726,0.9870208333333333,0.9743333333333334,MLPOne,0.01,32,sgd
16,1,17,0.04773105631101256,0.08532897186279297,0.988,0.9759166666666667,MLPOne,0.01,32,sgd
17,1,18,0.04410189641329149,0.08268173546468219,0.9890208333333333,0.97575,MLPOne,0.01,32,sgd
18,1,19,0.04147629823411504,0.08090610075369477,0.9897291666666667,0.9763333333333334,MLPOne,0.01,32,sgd
19,1,20,0.038746846476724994,0.07915070293160777,0.9905625,0.97675,MLPOne,0.01,32,sgd
20,1,21,0.03628257487698769,0.07863384362496435,0.9916041666666666,0.9771666666666666,MLPOne,0.01,32,sgd
21,1,22,0.03391207106225193,0.07809725838589171,0.9924166666666666,0.97675,MLPOne,0.01,32,sgd
22,1,23,0.031893011719415276,0.07657846793718635,0.9930625,0.97775,MLPOne,0.01,32,sgd
23,1,24,0.02992001452828602,0.0759188006396095,0.9934375,0.9775833333333334,MLPOne,0.01,32,sgd
24,1,25,0.028195394829070818,0.07473701468730966,0.9938958333333333,0.9784166666666667,MLPOne,0.01,32,sgd
25,1,26,0.02666582612840769,0.07384402236901223,0.9946666666666667,0.978,MLPOne,0.01,32,sgd
26,1,27,0.02504628383651531,0.07288135066380104,0.9949791666666666,0.9784166666666667,MLPOne,0.01,32,sgd
27,1,28,0.02377851610103001,0.07243813606724143,0.9955208333333333,0.9784166666666667,MLPOne,0.01,32,sgd
28,1,29,0.022439467454639574,0.07280163173439602,0.9960208333333334,0.9790833333333333,MLPOne,0.01,32,sgd
29,1,30,0.021187645821948535,0.07143872460629791,0.9964166666666666,0.97825,MLPOne,0.01,32,sgd
30,1,31,0.01985868273388284,0.07178905057969193,0.997125,0.9781666666666666,MLPOne,0.01,32,sgd
31,1,32,0.01908833482217354,0.07066438500831525,0.9971041666666667,0.9788333333333333,MLPOne,0.01,32,sgd
32,1,33,0.018101791103952564,0.07057135711393009,0.9975833333333334,0.9789166666666667,MLPOne,0.01,32,sgd
33,1,34,0.017140150729295176,0.0706774022433286,0.9978333333333333,0.9794166666666667,MLPOne,0.01,32,sgd
34,1,35,0.016380311187628345,0.06961383857298642,0.9980208333333334,0.9795833333333334,MLPOne,0.01,32,sgd
35,1,36,0.015534670763416216,0.06965010575763882,0.99825,0.98,MLPOne,0.01,32,sgd
36,1,37,0.014851339400862343,0.06961409772560001,0.9984583333333333,0.9798333333333333,MLPOne,0.01,32,sgd
37,1,38,0.014203760579403025,0.07017079221317545,0.9984791666666667,0.97925,MLPOne,0.01,32,sgd
38,1,39,0.013380604947490308,0.07071645325484376,0.9987916666666666,0.9798333333333333,MLPOne,0.01,32,sgd
39,1,40,0.012870830444832488,0.06951603966532276,0.9989375,0.97975,MLPOne,0.01,32,sgd
40,1,41,0.012367853051914911,0.06857643309949586,0.999,0.9798333333333333,MLPOne,0.01,32,sgd
41,1,42,0.011788470375118777,0.06900219102126236,0.9991041666666667,0.9803333333333333,MLPOne,0.01,32,sgd
42,1,43,0.0112889366192782,0.06962214934484412,0.9991041666666667,0.9800833333333333,MLPOne,0.01,32,sgd
43,1,44,0.01085666115246325,0.0702921794859382,0.9991875,0.98,MLPOne,0.01,32,sgd
44,1,45,0.010395013721688884,0.06971156486341108,0.9993125,0.9803333333333333,MLPOne,0.01,32,sgd
45,1,46,0.010052000123667918,0.06923455836887782,0.9993333333333333,0.9799166666666667,MLPOne,0.01,32,sgd
46,1,47,0.00963348552485695,0.06864817953218395,0.9993958333333334,0.98,MLPOne,0.01,32,sgd
47,1,48,0.009320535543413522,0.06931673803475374,0.9994166666666666,0.9796666666666667,MLPOne,0.01,32,sgd
48,1,49,0.008921358625695574,0.06952448363788426,0.9994791666666667,0.98,MLPOne,0.01,32,sgd
