,case,epoch,loss,val_loss,accuracy,val_accuracy,learning_rate,batch_size,optimizer,model
0,1,1,0.4259,0.3974,0.8776,0.8924,0.1,32,sgd,MLPZero
1,1,2,0.397,0.3797,0.8891,0.899,0.1,32,sgd,MLPZero
2,1,3,0.3838,0.3741,0.8943,0.9011,0.1,32,sgd,MLPZero
3,1,4,0.3749,0.3705,0.8971,0.902,0.1,32,sgd,MLPZero
4,1,5,0.3686,0.3685,0.8992,0.9029,0.1,32,sgd,MLPZero
5,1,6,0.364,0.3659,0.9008,0.9039,0.1,32,sgd,MLPZero
6,1,7,0.3602,0.3672,0.902,0.9044,0.1,32,sgd,MLPZero
7,1,8,0.3569,0.3662,0.9031,0.9052,0.1,32,sgd,MLPZero
8,1,9,0.3539,0.3654,0.9041,0.9055,0.1,32,sgd,MLPZero
9,1,10,0.3513,0.369,0.9048,0.9049,0.1,32,sgd,MLPZero
10,1,11,0.3489,0.3769,0.9055,0.9028,0.1,32,sgd,MLPZero
11,1,12,0.3474,0.3797,0.9059,0.9026,0.1,32,sgd,MLPZero
12,1,13,0.3457,0.3784,0.9064,0.903,0.1,32,sgd,MLPZero
13,1,14,0.344,0.3779,0.9069,0.9034,0.1,32,sgd,MLPZero
14,1,15,0.3425,0.3778,0.9073,0.9038,0.1,32,sgd,MLPZero
15,1,16,0.3414,0.3794,0.9077,0.9037,0.1,32,sgd,MLPZero
16,1,17,0.3401,0.3781,0.908,0.9041,0.1,32,sgd,MLPZero
17,1,18,0.3388,0.3806,0.9084,0.9035,0.1,32,sgd,MLPZero
18,1,19,0.3377,0.3811,0.9087,0.9031,0.1,32,sgd,MLPZero
19,1,20,0.3366,0.3816,0.909,0.9032,0.1,32,sgd,MLPZero
20,1,21,0.3357,0.3831,0.9092,0.903,0.1,32,sgd,MLPZero
21,1,22,0.3347,0.3826,0.9095,0.903,0.1,32,sgd,MLPZero
22,1,23,0.3339,0.3857,0.9098,0.9023,0.1,32,sgd,MLPZero
23,1,24,0.3331,0.3858,0.91,0.9025,0.1,32,sgd,MLPZero
24,1,25,0.3322,0.3863,0.9103,0.9025,0.1,32,sgd,MLPZero
25,1,26,0.3315,0.3859,0.9106,0.9026,0.1,32,sgd,MLPZero
26,1,27,0.3308,0.3851,0.9107,0.9031,0.1,32,sgd,MLPZero
27,1,28,0.3301,0.3857,0.9109,0.9032,0.1,32,sgd,MLPZero
28,1,29,0.3295,0.3878,0.9111,0.9027,0.1,32,sgd,MLPZero
29,1,30,0.3289,0.3879,0.9112,0.9029,0.1,32,sgd,MLPZero
30,1,31,0.3284,0.3882,0.9114,0.9028,0.1,32,sgd,MLPZero
31,1,32,0.3278,0.3898,0.9116,0.9026,0.1,32,sgd,MLPZero
32,1,33,0.3273,0.3894,0.9117,0.9029,0.1,32,sgd,MLPZero
33,1,34,0.3268,0.3904,0.9119,0.9027,0.1,32,sgd,MLPZero
34,1,35,0.3263,0.3904,0.912,0.9028,0.1,32,sgd,MLPZero
35,1,36,0.3258,0.3903,0.9121,0.903,0.1,32,sgd,MLPZero
36,1,37,0.3253,0.391,0.9122,0.9028,0.1,32,sgd,MLPZero
37,1,38,0.3249,0.3917,0.9124,0.9027,0.1,32,sgd,MLPZero
38,1,39,0.3245,0.3927,0.9125,0.9026,0.1,32,sgd,MLPZero
39,1,40,0.3241,0.3926,0.9126,0.9027,0.1,32,sgd,MLPZero
40,1,41,0.3237,0.3935,0.9127,0.9025,0.1,32,sgd,MLPZero
