,case,epoch,loss,val_loss,accuracy,val_accuracy,learning_rate,batch_size,optimizer,model
66,2,7,0.3737,0.3409,0.896,0.9043,0.02,256,sgd,MLPZero
67,2,8,0.3649,0.3365,0.8983,0.9053,0.02,256,sgd,MLPZero
68,2,9,0.3575,0.3326,0.9003,0.9065,0.02,256,sgd,MLPZero
69,2,10,0.3513,0.3291,0.9019,0.9074,0.02,256,sgd,MLPZero
70,2,11,0.346,0.3263,0.9033,0.9082,0.02,256,sgd,MLPZero
71,2,12,0.3414,0.3237,0.9046,0.9089,0.02,256,sgd,MLPZero
72,2,13,0.3373,0.3214,0.9057,0.9096,0.02,256,sgd,MLPZero
73,2,14,0.3336,0.3192,0.9067,0.9101,0.02,256,sgd,MLPZero
74,2,15,0.3303,0.3172,0.9076,0.9106,0.02,256,sgd,MLPZero
75,2,16,0.3273,0.3155,0.9084,0.9111,0.02,256,sgd,MLPZero
76,2,17,0.3246,0.3139,0.9091,0.9116,0.02,256,sgd,MLPZero
77,2,18,0.3221,0.3124,0.9098,0.912,0.02,256,sgd,MLPZero
78,2,19,0.3198,0.311,0.9105,0.9124,0.02,256,sgd,MLPZero
79,2,20,0.3176,0.3098,0.911,0.9127,0.02,256,sgd,MLPZero
80,2,21,0.3156,0.3085,0.9116,0.913,0.02,256,sgd,MLPZero
81,2,22,0.3138,0.3074,0.9122,0.9133,0.02,256,sgd,MLPZero
82,2,23,0.312,0.3063,0.9127,0.9135,0.02,256,sgd,MLPZero
83,2,24,0.3104,0.3053,0.9132,0.9138,0.02,256,sgd,MLPZero
84,2,25,0.3089,0.3043,0.9137,0.9141,0.02,256,sgd,MLPZero
85,2,26,0.3074,0.3034,0.9141,0.9144,0.02,256,sgd,MLPZero
86,2,27,0.306,0.3026,0.9145,0.9146,0.02,256,sgd,MLPZero
87,2,28,0.3047,0.3018,0.9149,0.9148,0.02,256,sgd,MLPZero
88,2,29,0.3035,0.3011,0.9152,0.915,0.02,256,sgd,MLPZero
89,2,30,0.3023,0.3004,0.9156,0.9152,0.02,256,sgd,MLPZero
90,2,31,0.3012,0.2997,0.9159,0.9154,0.02,256,sgd,MLPZero
91,2,32,0.3001,0.2991,0.9163,0.9156,0.02,256,sgd,MLPZero
92,2,33,0.2991,0.2985,0.9166,0.9158,0.02,256,sgd,MLPZero
93,2,34,0.2981,0.2979,0.9169,0.9159,0.02,256,sgd,MLPZero
94,2,35,0.2971,0.2973,0.9172,0.9161,0.02,256,sgd,MLPZero
95,2,36,0.2962,0.2968,0.9174,0.9162,0.02,256,sgd,MLPZero
96,2,37,0.2953,0.2962,0.9177,0.9163,0.02,256,sgd,MLPZero
97,2,38,0.2945,0.2957,0.918,0.9165,0.02,256,sgd,MLPZero
98,2,39,0.2937,0.2953,0.9182,0.9166,0.02,256,sgd,MLPZero
99,2,40,0.2929,0.2948,0.9185,0.9168,0.02,256,sgd,MLPZero
100,2,41,0.2921,0.2944,0.9187,0.9169,0.02,256,sgd,MLPZero
101,2,42,0.2914,0.294,0.9189,0.917,0.02,256,sgd,MLPZero
102,2,43,0.2907,0.2936,0.9191,0.9171,0.02,256,sgd,MLPZero
103,2,44,0.29,0.2932,0.9193,0.9172,0.02,256,sgd,MLPZero
104,2,45,0.2893,0.2928,0.9195,0.9173,0.02,256,sgd,MLPZero
105,2,46,0.2886,0.2924,0.9197,0.9174,0.02,256,sgd,MLPZero
106,2,47,0.288,0.2921,0.9199,0.9175,0.02,256,sgd,MLPZero
107,2,48,0.2874,0.2918,0.9201,0.9176,0.02,256,sgd,MLPZero
108,2,49,0.2868,0.2914,0.9202,0.9177,0.02,256,sgd,MLPZero
109,2,50,0.2862,0.2911,0.9204,0.9178,0.02,256,sgd,MLPZero
110,2,51,0.2857,0.2908,0.9206,0.9179,0.02,256,sgd,MLPZero
111,2,52,0.2851,0.2905,0.9207,0.918,0.02,256,sgd,MLPZero
112,2,53,0.2846,0.2902,0.9209,0.918,0.02,256,sgd,MLPZero
113,2,54,0.2841,0.2899,0.921,0.9181,0.02,256,sgd,MLPZero
114,2,55,0.2836,0.2896,0.9212,0.9182,0.02,256,sgd,MLPZero
115,2,56,0.283,0.2894,0.9213,0.9182,0.02,256,sgd,MLPZero
116,2,57,0.2826,0.2891,0.9215,0.9183,0.02,256,sgd,MLPZero
117,2,58,0.2821,0.2889,0.9216,0.9184,0.02,256,sgd,MLPZero
118,2,59,0.2816,0.2886,0.9218,0.9185,0.02,256,sgd,MLPZero
119,2,60,0.2812,0.2884,0.9219,0.9185,0.02,256,sgd,MLPZero
120,3,1,0.3851,0.3223,0.8899,0.9073,0.07,32,sgd,MLPZero
121,3,2,0.3585,0.3192,0.8983,0.9094,0.07,32,sgd,MLPZero
122,3,3,0.3453,0.3176,0.9025,0.9102,0.07,32,sgd,MLPZero
123,3,4,0.3372,0.3215,0.9048,0.9093,0.07,32,sgd,MLPZero
124,3,5,0.3317,0.3253,0.9066,0.9086,0.07,32,sgd,MLPZero
125,3,6,0.3273,0.3244,0.908,0.9092,0.07,32,sgd,MLPZero
126,3,7,0.3236,0.3257,0.9092,0.9089,0.07,32,sgd,MLPZero
127,3,8,0.3205,0.3247,0.9101,0.9092,0.07,32,sgd,MLPZero
128,3,9,0.3181,0.3251,0.9109,0.9095,0.07,32,sgd,MLPZero
129,3,10,0.3159,0.3234,0.9114,0.9103,0.07,32,sgd,MLPZero
130,3,11,0.314,0.3238,0.9121,0.9103,0.07,32,sgd,MLPZero
131,3,12,0.3123,0.3245,0.9127,0.9101,0.07,32,sgd,MLPZero
132,3,13,0.3106,0.324,0.9132,0.9105,0.07,32,sgd,MLPZero
133,3,14,0.309,0.3249,0.9136,0.9104,0.07,32,sgd,MLPZero
134,3,15,0.3075,0.3256,0.914,0.9102,0.07,32,sgd,MLPZero
135,3,16,0.3063,0.3263,0.9143,0.9104,0.07,32,sgd,MLPZero
136,3,17,0.3052,0.3261,0.9147,0.9105,0.07,32,sgd,MLPZero
137,3,18,0.3042,0.3254,0.915,0.9108,0.07,32,sgd,MLPZero
138,3,19,0.3033,0.3261,0.9153,0.9107,0.07,32,sgd,MLPZero
139,3,20,0.3023,0.3263,0.9155,0.9107,0.07,32,sgd,MLPZero
140,3,21,0.3014,0.3264,0.9158,0.9108,0.07,32,sgd,MLPZero
141,3,22,0.3006,0.3269,0.916,0.9107,0.07,32,sgd,MLPZero
142,3,23,0.2999,0.3267,0.9161,0.9108,0.07,32,sgd,MLPZero
143,3,24,0.2991,0.3266,0.9164,0.9109,0.07,32,sgd,MLPZero
144,3,25,0.2984,0.3269,0.9165,0.911,0.07,32,sgd,MLPZero
145,3,26,0.2977,0.3269,0.9168,0.9111,0.07,32,sgd,MLPZero
146,3,27,0.2971,0.327,0.9169,0.911,0.07,32,sgd,MLPZero
147,3,28,0.2965,0.3275,0.9171,0.911,0.07,32,sgd,MLPZero
148,3,29,0.2959,0.3278,0.9173,0.911,0.07,32,sgd,MLPZero
149,3,30,0.2954,0.3277,0.9175,0.9111,0.07,32,sgd,MLPZero
150,3,31,0.2949,0.33,0.9176,0.9104,0.07,32,sgd,MLPZero
