,case,epoch,loss,val_loss,accuracy,val_accuracy,learning_rate,batch_size,optimizer,model
0,1,1,0.4341,0.3187,0.8796,0.9085,0.01,32,sgd,MLPZeroReLu
1,1,2,0.3773,0.3064,0.8939,0.9124,0.01,32,sgd,MLPZeroReLu
2,1,3,0.3521,0.2988,0.9005,0.9143,0.01,32,sgd,MLPZeroReLu
3,1,4,0.3371,0.294,0.9048,0.916,0.01,32,sgd,MLPZeroReLu
4,1,5,0.3266,0.2909,0.9077,0.9173,0.01,32,sgd,MLPZeroReLu
5,1,6,0.3187,0.2885,0.9099,0.9181,0.01,32,sgd,MLPZeroReLu
6,1,7,0.3124,0.2863,0.9118,0.9187,0.01,32,sgd,MLPZeroReLu
7,1,8,0.3072,0.2842,0.9133,0.9193,0.01,32,sgd,MLPZeroReLu
8,1,9,0.3027,0.2826,0.9146,0.9196,0.01,32,sgd,MLPZeroReLu
9,1,10,0.2989,0.2808,0.9157,0.9202,0.01,32,sgd,MLPZeroReLu
10,1,11,0.2955,0.2792,0.9167,0.9207,0.01,32,sgd,MLPZeroReLu
11,1,12,0.2925,0.2781,0.9176,0.9209,0.01,32,sgd,MLPZeroReLu
12,1,13,0.2898,0.277,0.9183,0.9214,0.01,32,sgd,MLPZeroReLu
13,1,14,0.2874,0.2761,0.9189,0.9217,0.01,32,sgd,MLPZeroReLu
14,1,15,0.2851,0.2753,0.9195,0.9219,0.01,32,sgd,MLPZeroReLu
15,1,16,0.2831,0.2743,0.9202,0.9222,0.01,32,sgd,MLPZeroReLu
16,1,17,0.2812,0.2737,0.9207,0.9225,0.01,32,sgd,MLPZeroReLu
17,1,18,0.2794,0.273,0.9212,0.9227,0.01,32,sgd,MLPZeroReLu
18,1,19,0.2778,0.2724,0.9217,0.9229,0.01,32,sgd,MLPZeroReLu
19,1,20,0.2763,0.272,0.9221,0.923,0.01,32,sgd,MLPZeroReLu
20,1,21,0.2749,0.2715,0.9225,0.9231,0.01,32,sgd,MLPZeroReLu
21,1,22,0.2735,0.271,0.9228,0.9233,0.01,32,sgd,MLPZeroReLu
22,1,23,0.2723,0.2706,0.9232,0.9235,0.01,32,sgd,MLPZeroReLu
23,1,24,0.2711,0.2702,0.9236,0.9236,0.01,32,sgd,MLPZeroReLu
24,1,25,0.2699,0.2698,0.9239,0.9236,0.01,32,sgd,MLPZeroReLu
25,1,26,0.2688,0.2694,0.9242,0.9237,0.01,32,sgd,MLPZeroReLu
26,1,27,0.2678,0.2691,0.9245,0.9238,0.01,32,sgd,MLPZeroReLu
27,1,28,0.2668,0.2689,0.9248,0.9238,0.01,32,sgd,MLPZeroReLu
28,1,29,0.2659,0.2686,0.9251,0.9239,0.01,32,sgd,MLPZeroReLu
29,1,30,0.265,0.2683,0.9253,0.9239,0.01,32,sgd,MLPZeroReLu
